Age,Gender,Years at address,Employment status,Country,Current debt,Postcode,Income,Own home,CCJs,Loan amount,Outcome
25,M,2,Self Employed,UK,3300,CO6 2TB,20500,Own,0,9288,Defaulted
25,M,7,Unemployed,UK,4080,NG16 6JA,47500,Own,1,94,Paid
58,F,13,Self Employed,UK,4870,MK17 8LN,53000,Mortgage,3,35785,Defaulted
83,M,56,Unemployed,UK,1310,SE12 0LH,42500,Own,3,3222,Defaulted
62,M,9,Self Employed,UK,3880,SL3 0BS,18000,Rent,2,16683,Defaulted
55,M,19,Self Employed,UK,200,EN2 7DT,44000,Mortgage,0,775,Paid
85,F,8,Unemployed,UK,960,NE3 5NL,28500,Own,0,17614,Paid
51,F,11,Self Employed,UK,300,TW1 2PX,42000,Mortgage,0,1201,Paid
51,M,26,Self Employed,UK,3180,SW3 2JU,43000,Own,0,21276,Defaulted
86,F,45,Unemployed,UK,2950,SW16 4RZ,41000,Own,2,13466,Defaulted
53,F,20,Self Employed,UK,10,IP13 7NZ,46500,Mortgage,3,13175,Defaulted
32,M,4,Self Employed,UK,870,WD3 5GF,38000,Own,0,7548,Defaulted
40,F,7,Unemployed,UK,8410,LE12 8AT,36500,Own,0,3153,Defaulted
38,F,20,Self Employed,UK,5610,NW10 3HP,48500,Mortgage,2,47300,Defaulted
82,M,48,Self Employed,UK,1040,NN15 6SS,50500,Mortgage,0,32204,Paid
49,M,17,Unemployed,UK,2110,RG1 6HR,32000,Own,2,30312,Defaulted
69,F,13,Employed,UK,7040,PH18 5TX,37000,Mortgage,1,22632,Paid
84,F,2,Unemployed,UK,9780,SK23 6BG,49000,Own,2,33427,Paid
85,F,23,Self Employed,UK,7160,WA14 4HJ,28500,Own,0,13706,Paid
50,M,18,Employed,UK,70,NP25 5NL,49500,Own,0,23379,Paid
80,F,29,Unemployed,UK,220,SW5 9TF,38000,Mortgage,0,33129,Paid
64,M,19,Unemployed,UK,90,CR5 2EF,27500,Own,0,25013,Paid
17,M,1,Self Employed,UK,5900,SN10 4SQ,37500,Rent,3,35840,Defaulted
61,F,18,Self Employed,UK,7390,SE5 0TQ,20000,Own,1,6693,Paid
58,M,31,Self Employed,UK,9690,GL52 5LY,39000,Own,0,1717,Defaulted
41,M,15,Unemployed,UK,4490,DE13 9HF,47000,Own,1,27839,Paid
71,M,14,Employed,UK,3430,GU14 6ST,7500,Mortgage,0,4763,Paid
78,F,3,Self Employed,UK,60,BS10 6TQ,29500,Mortgage,0,12743,Defaulted
85,M,18,Unemployed,UK,2070,GU34 1TP,24000,Own,0,9708,Defaulted
45,M,13,Self Employed,UK,1590,BT28 3HL,24500,Mortgage,0,19610,Paid
67,M,3,Self Employed,UK,520,EX12 2HW,35000,Mortgage,0,23732,Defaulted
61,F,34,Self Employed,UK,8540,SW5 9TF,46500,Rent,1,17232,Paid
47,M,28,Self Employed,UK,190,RG40 4NR,42000,Own,1,29089,Paid
42,F,4,Self Employed,UK,1900,DA13 0QA,48500,Own,2,2929,Defaulted
41,F,5,Self Employed,UK,460,JE3 4FS,49500,Mortgage,2,4489,Defaulted
89,F,4,Employed,UK,2900,NW1 7TL,35500,Own,0,25988,Paid
25,F,1,Self Employed,UK,6440,CA16 6DA,49500,Own,2,16075,Defaulted
33,F,1,Employed,UK,2510,BT14 6NY,23000,Own,0,7019,Paid
49,F,1,Self Employed,UK,2690,EX13 7EN,31500,Rent,0,23186,Defaulted
80,M,4,Unemployed,UK,50,SK9 6DS,52500,Rent,0,28034,Paid
47,M,28,Self Employed,UK,5140,GU10 3HP,43500,Own,2,3454,Defaulted
39,F,7,Self Employed,UK,870,SY11 3LW,49500,Own,0,19545,Paid
28,M,11,Self Employed,UK,9130,DN5 0LJ,42500,Rent,0,33214,Paid
69,M,25,Employed,UK,7140,BA22 9SF,48500,Mortgage,1,22618,Defaulted
20,F,1,Self Employed,UK,60,CH64 5TQ,21500,Own,2,10493,Defaulted
67,M,40,Self Employed,UK,6420,CW9 8TJ,53000,Rent,0,16488,Defaulted
72,F,44,Unemployed,UK,0,BT20 5JR,47000,Own,0,44165,Paid
84,M,32,Self Employed,UK,130,GL6 6XW,30500,Own,0,22435,Defaulted
28,M,7,Unemployed,UK,110,BR3 3LP,50000,Own,0,45385,Paid
25,F,8,Unemployed,UK,740,BA2 7UJ,49500,Mortgage,0,39236,Defaulted
38,M,1,Self Employed,UK,600,TW16 6AN,19000,Own,0,5404,Defaulted
29,M,8,Self Employed,UK,780,KT18 5UA,41000,Own,1,35581,Paid
58,M,18,Unemployed,UK,4890,NE20 9EF,29000,Mortgage,2,22643,Defaulted
35,M,7,Self Employed,UK,1920,EX6 6RG,34000,Own,2,23928,Defaulted
81,F,57,Self Employed,UK,2020,KA23 9LH,33500,Mortgage,0,15408,Paid
70,M,6,Employed,UK,8330,TQ9 5BX,48000,Mortgage,0,41251,Defaulted
77,M,55,Unemployed,UK,3370,SG5 3QB,32000,Own,0,25140,Paid
88,F,29,Self Employed,UK,6660,G11 7JD,46500,Own,0,27796,Paid
54,M,14,Unemployed,UK,2850,N10 3NR,21000,Mortgage,1,15980,Defaulted
55,F,34,Unemployed,UK,4000,G20 6DF,38000,Own,0,25012,Defaulted
31,F,2,Unemployed,UK,1960,BT40 1UB,54000,Own,0,4512,Paid
89,M,47,Unemployed,UK,1870,FK14 7JA,30000,Own,3,11875,Defaulted
72,M,13,Unemployed,UK,5630,W2 3TB,44000,Own,0,2803,Defaulted
71,M,37,Self Employed,UK,2900,KY11 8FP,19000,Own,0,6563,Paid
27,M,2,Unemployed,UK,4330,BS39 4NT,51500,Rent,0,48659,Paid
24,M,7,Self Employed,UK,4640,SE5 8BG,51500,Own,3,38083,Defaulted
83,F,35,Self Employed,UK,8320,HD8 9ST,50000,Rent,2,21982,Paid
48,F,2,Self Employed,UK,5010,G12 9BD,50500,Own,2,35083,Defaulted
66,F,16,Unemployed,UK,1240,CB2 1TA,36500,Mortgage,0,26068,Paid
73,F,46,Employed,UK,2600,WS13 6XE,52000,Own,2,38697,Paid
73,F,4,Unemployed,UK,1300,GY5 7HY,45000,Own,0,19892,Defaulted
86,M,34,Self Employed,UK,5690,SP6 2AF,13000,Own,3,6095,Paid
85,F,49,Self Employed,UK,3030,BT71 7PQ,21500,Own,0,354,Paid
28,F,3,Unemployed,UK,2150,JE3 1HG,49000,Own,1,6159,Paid
51,F,20,Unemployed,UK,590,PE19 2SB,54500,Mortgage,3,8826,Defaulted
67,M,31,Self Employed,UK,8980,PR4 2NP,15000,Own,2,10802,Paid
63,M,14,Self Employed,UK,2280,BB9 9LJ,23500,Mortgage,1,5309,Defaulted
44,F,5,Self Employed,UK,180,UB9 5BE,39000,Own,2,30337,Defaulted
31,F,10,Unemployed,UK,530,CV7 7PN,50500,Own,0,39093,Defaulted
26,M,6,Employed,UK,2360,CH6 5SD,49500,Own,0,26230,Defaulted
27,M,8,Unemployed,UK,6530,KY16 0EA,24500,Own,1,342,Paid
40,M,12,Self Employed,UK,1810,DE73 8GR,36000,Mortgage,0,27581,Paid
25,M,3,Self Employed,UK,4240,DN38 6DF,54000,Rent,2,40215,Defaulted
46,M,26,Self Employed,UK,7920,TN12 0DE,42000,Own,0,23247,Paid
88,M,46,Unemployed,UK,3570,BD17 7QL,44000,Own,0,26509,Paid
78,F,46,Employed,UK,9820,CF62 3DD,36500,Own,0,18974,Defaulted
70,M,38,Self Employed,UK,270,BH19 1QN,48000,Own,2,8798,Paid
75,M,13,Self Employed,UK,10,N7 8LL,35000,Own,0,19495,Paid
37,F,8,Self Employed,UK,5380,GU31 4AZ,48500,Own,2,15354,Defaulted
58,M,32,Self Employed,UK,6220,BT47 3BB,42500,Mortgage,0,31126,Paid
41,F,7,Self Employed,UK,140,BA10 0DE,22500,Rent,0,2432,Defaulted
57,M,34,Employed,UK,780,GL54 2AP,40000,Rent,1,20918,Paid
54,F,9,Unemployed,UK,2420,SA43 2LE,41000,Mortgage,0,10891,Paid
23,F,6,Self Employed,UK,240,KT3 3DW,19500,Rent,1,16216,Defaulted
30,M,9,Self Employed,UK,400,SW4 7DW,41500,Rent,1,24659,Paid
72,M,37,Self Employed,UK,2690,EH11 3SX,46500,Mortgage,3,28848,Defaulted
74,M,8,Unemployed,UK,5460,OX2 7BH,45500,Mortgage,1,8659,Paid
67,F,32,Self Employed,UK,6760,GU51 3RF,32500,Own,0,29124,Paid
57,F,1,Employed,UK,170,BD23 3PQ,22500,Own,1,14767,Paid
68,F,37,Unemployed,UK,0,PL3 5JY,54000,Own,1,21218,Paid
34,F,2,Unemployed,UK,840,BT35 0AJ,11500,Own,0,4728,Paid
53,M,7,Self Employed,UK,4110,BS9 3TN,44500,Own,0,19262,Paid
59,M,41,Self Employed,France,890,WD3 5NS,22500,Mortgage,2,22152,Defaulted
41,M,23,Self Employed,UK,510,NE66 3BZ,39500,Mortgage,0,9313,Paid
69,F,20,Employed,UK,80,BT26 6DH,32000,Mortgage,0,30527,Paid
49,M,18,Employed,UK,750,TN4 0DG,43000,Mortgage,0,3505,Paid
31,M,5,Self Employed,UK,970,SW12 9QE,43500,Rent,2,29795,Defaulted
65,F,15,Self Employed,UK,1640,LL59 5BW,44500,Own,3,19317,Defaulted
33,F,13,Self Employed,UK,3570,SE1 4TQ,31500,Own,1,22562,Defaulted
85,F,2,Unemployed,UK,70,SW1X 0HT,52000,Own,0,12756,Paid
89,F,7,Unemployed,UK,210,WV6 9PH,44000,Rent,1,31238,Paid
83,M,25,Self Employed,UK,4410,SW6 6BZ,52500,Own,3,33405,Defaulted
29,M,11,Employed,UK,1230,CB2 5HE,41500,Mortgage,3,1515,Defaulted
20,F,3,Employed,UK,960,GU10 3PU,12500,Mortgage,1,12265,Paid
64,M,44,Unemployed,UK,380,CA6 5XF,35000,Own,2,10886,Paid
43,M,25,Self Employed,UK,1150,SE5 9HG,42500,Own,0,6940,Paid
87,M,29,Employed,UK,180,GU27 3AW,52500,Mortgage,2,26495,Paid
61,F,35,Unemployed,UK,2660,N22 7EX,52500,Own,0,8835,Paid
66,M,8,Self Employed,UK,4760,BN11 3NG,10000,Mortgage,3,9257,Defaulted
25,F,3,Unemployed,UK,6430,WD7 7HN,28000,Mortgage,2,6734,Defaulted
41,F,19,Unemployed,UK,2940,SA11 4AL,32500,Mortgage,2,7559,Defaulted
28,F,1,Self Employed,UK,2260,CM1 4EP,35500,Rent,3,22006,Defaulted
72,F,30,Unemployed,UK,5400,W3 0NH,30000,Rent,0,25809,Defaulted
43,F,26,Unemployed,UK,90,IP19 0AT,48000,Own,0,12595,Defaulted
48,M,29,Employed,UK,4160,CB3 0HR,34500,Rent,1,30408,Defaulted
84,M,23,Unemployed,UK,390,BA12 6BR,30500,Mortgage,1,26034,Defaulted
38,F,7,Employed,UK,2990,GU26 6ER,53500,Own,0,52614,Paid
54,M,20,Self Employed,UK,1750,EH10 6RP,38000,Own,3,30248,Defaulted
73,F,24,Employed,UK,2400,SN14 6NE,17000,Own,2,1183,Defaulted
47,F,9,Unemployed,UK,3180,BR6 7AG,16000,Mortgage,3,2051,Paid
83,M,46,Employed,UK,3130,HA5 3AZ,32000,Own,0,4090,Paid
64,M,11,Unemployed,UK,9830,PE8 6NP,40000,Own,2,18502,Defaulted
29,M,10,Employed,UK,1120,OX13 5EP,35000,Mortgage,0,19555,Paid
